result: freq 2412 rssi -03, noise -95, max_magnitude 0234 max_index 029 bitmap_weight 008 tsf 37158642117 | datamax = 8464, datamin = 9, datasquaresum = 81895
signal: -122.027122, pixels: 378130448, freq: 2421.453125, startfreq: 2350.000000, noise: -95, rssi: -3, data: 18, datasquaresum: 81895, highlight: 1 
signal: -115.002487, pixels: 378130448, freq: 2402.546875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 62311, highlight: 0 
signal: -128.382629, pixels: 378130448, freq: 2402.890625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 6, datasquaresum: 62311, highlight: 0 
signal: -125.883850, pixels: 378130448, freq: 2403.234375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 8, datasquaresum: 62311, highlight: 0 
signal: -110.503693, pixels: 378130448, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 47, datasquaresum: 62311, highlight: 0 
signal: -112.349976, pixels: 378130448, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 38, datasquaresum: 62311, highlight: 0 
signal: -114.403221, pixels: 378130448, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 30, datasquaresum: 62311, highlight: 0 
signal: -119.336670, pixels: 378130448, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 62311, highlight: 0 
signal: -117.501266, pixels: 378130448, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 62311, highlight: 0 
signal: -111.904449, pixels: 378130448, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 40, datasquaresum: 62311, highlight: 0 
signal: -121.023087, pixels: 378130448, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 62311, highlight: 0 
signal: -137.925049, pixels: 378130448, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 2, datasquaresum: 62311, highlight: 0 
signal: -114.697685, pixels: 378130448, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 29, datasquaresum: 62311, highlight: 0 
signal: -113.575371, pixels: 378130448, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 62311, highlight: 0 
signal: -118.840195, pixels: 378130448, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 18, datasquaresum: 62311, highlight: 0 
signal: -113.575371, pixels: 378130448, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 62311, highlight: 0 
signal: -119.336670, pixels: 378130448, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 62311, highlight: 0 
signal: -119.336670, pixels: 378130448, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 17, datasquaresum: 62311, highlight: 0 
signal: -119.863251, pixels: 378130448, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 16, datasquaresum: 62311, highlight: 0 
signal: -121.666779, pixels: 378130448, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 13, datasquaresum: 62311, highlight: 0 
