result: freq 2412 rssi 039, noise -95, max_magnitude 0842 max_index 001 bitmap_weight 002 tsf 372478835159 | datamax = 705600, datamin = 576, datasquaresum = 876576
signal: -121.210030, pixels: 745783312, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 12, datasquaresum: 60168, highlight: 0 
signal: -118.711258, pixels: 745783312, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 16, datasquaresum: 60168, highlight: 0 
signal: -123.708801, pixels: 745783312, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 9, datasquaresum: 60168, highlight: 0 
signal: -121.210030, pixels: 745783312, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 12, datasquaresum: 60168, highlight: 0 
signal: -110.328674, pixels: 745783312, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 42, datasquaresum: 60168, highlight: 0 
signal: -107.230629, pixels: 745783312, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 60, datasquaresum: 60168, highlight: 0 
signal: -119.271828, pixels: 745783312, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 15, datasquaresum: 60168, highlight: 0 
signal: -113.251228, pixels: 745783312, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 30, datasquaresum: 60168, highlight: 0 
signal: -112.690659, pixels: 745783312, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 32, datasquaresum: 60168, highlight: 0 
signal: -112.164078, pixels: 745783312, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 34, datasquaresum: 60168, highlight: 0 
signal: -112.690659, pixels: 745783312, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: 0, data: 32, datasquaresum: 60168, highlight: 0 
signal: -109.729401, pixels: 745783312, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: 0, data: 45, datasquaresum: 60168, highlight: 0 
signal: -114.834854, pixels: 745783312, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: 0, data: 25, datasquaresum: 60168, highlight: 0 
signal: -108.145782, pixels: 745783312, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: 0, data: 54, datasquaresum: 60168, highlight: 0 
