result: freq 2412 rssi 000, noise -95, max_magnitude 0160 max_index 029 bitmap_weight 008 tsf 344558514918 | datamax = 4096, datamin = 4, datasquaresum = 52600
signal: -112.251358, pixels: -2036867056, freq: 2403.578125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 36, datasquaresum: 54669, highlight: 0 
signal: -119.855583, pixels: -2036867056, freq: 2403.921875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 15, datasquaresum: 54669, highlight: 0 
signal: -116.528961, pixels: -2036867056, freq: 2404.265625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 22, datasquaresum: 54669, highlight: 0 
signal: -113.834984, pixels: -2036867056, freq: 2404.609375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 30, datasquaresum: 54669, highlight: 0 
signal: -112.013374, pixels: -2036867056, freq: 2404.953125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 37, datasquaresum: 54669, highlight: 0 
signal: -122.549561, pixels: -2036867056, freq: 2405.296875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 11, datasquaresum: 54669, highlight: 0 
signal: -112.013374, pixels: -2036867056, freq: 2405.640625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 37, datasquaresum: 54669, highlight: 0 
signal: -129.398010, pixels: -2036867056, freq: 2405.984375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 5, datasquaresum: 54669, highlight: 0 
signal: -109.398010, pixels: -2036867056, freq: 2406.328125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 50, datasquaresum: 54669, highlight: 0 
signal: -111.336212, pixels: -2036867056, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 40, datasquaresum: 54669, highlight: 0 
signal: -113.007133, pixels: -2036867056, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 33, datasquaresum: 54669, highlight: 0 
signal: -116.933029, pixels: -2036867056, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 54669, highlight: 0 
signal: -109.935455, pixels: -2036867056, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 47, datasquaresum: 54669, highlight: 0 
signal: -112.747833, pixels: -2036867056, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 34, datasquaresum: 54669, highlight: 0 
signal: -120.454849, pixels: -2036867056, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 14, datasquaresum: 54669, highlight: 0 
signal: -110.912430, pixels: -2036867056, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 42, datasquaresum: 54669, highlight: 0 
signal: -116.933029, pixels: -2036867056, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 21, datasquaresum: 54669, highlight: 0 
signal: -116.528961, pixels: -2036867056, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 22, datasquaresum: 54669, highlight: 0 
signal: -110.708038, pixels: -2036867056, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 43, datasquaresum: 54669, highlight: 0 
signal: -114.434250, pixels: -2036867056, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 28, datasquaresum: 54669, highlight: 0 
signal: -117.802338, pixels: -2036867056, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -1, data: 19, datasquaresum: 54669, highlight: 0 
signal: -121.098541, pixels: -2036867056, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -1, data: 13, datasquaresum: 54669, highlight: 0 
signal: -113.550179, pixels: -2036867056, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -1, data: 31, datasquaresum: 54669, highlight: 0 
signal: -124.292557, pixels: -2036867056, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -1, data: 9, datasquaresum: 54669, highlight: 0 
