result: freq 2412 rssi 000, noise -95, max_magnitude 0103 max_index 029 bitmap_weight 034 tsf 1781255871 | datamax = 3969, datamin = 25, datasquaresum = 62420
signal: -113.281540, pixels: 1548898320, freq: 2406.671875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 37, datasquaresum: 58151, highlight: 0 
signal: -115.702408, pixels: 1548898320, freq: 2407.015625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 28, datasquaresum: 58151, highlight: 0 
signal: -118.624969, pixels: 1548898320, freq: 2407.359375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 58151, highlight: 0 
signal: -118.201187, pixels: 1548898320, freq: 2407.703125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 58151, highlight: 0 
signal: -111.390411, pixels: 1548898320, freq: 2408.046875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 46, datasquaresum: 58151, highlight: 0 
signal: -118.201187, pixels: 1548898320, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 58151, highlight: 0 
signal: -121.123749, pixels: 1548898320, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 15, datasquaresum: 58151, highlight: 0 
signal: -121.123749, pixels: 1548898320, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 15, datasquaresum: 58151, highlight: 0 
signal: -116.686768, pixels: 1548898320, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 25, datasquaresum: 58151, highlight: 0 
signal: -117.041351, pixels: 1548898320, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 58151, highlight: 0 
signal: -112.389893, pixels: 1548898320, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 41, datasquaresum: 58151, highlight: 0 
signal: -117.411011, pixels: 1548898320, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 23, datasquaresum: 58151, highlight: 0 
