result: freq 2412 rssi -02, noise -95, max_magnitude 0096 max_index 029 bitmap_weight 033 tsf 2416556619 | datamax = 3600, datamin = 49, datasquaresum = 57279
signal: -116.211899, pixels: 122466320, freq: 2408.390625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 48041, highlight: 0 
signal: -129.836716, pixels: 122466320, freq: 2408.734375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 5, datasquaresum: 48041, highlight: 0 
signal: -113.713120, pixels: 122466320, freq: 2409.078125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 32, datasquaresum: 48041, highlight: 0 
signal: -123.816116, pixels: 122466320, freq: 2409.421875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 10, datasquaresum: 48041, highlight: 0 
signal: -122.988266, pixels: 122466320, freq: 2409.765625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 11, datasquaresum: 48041, highlight: 0 
signal: -113.186539, pixels: 122466320, freq: 2410.109375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 34, datasquaresum: 48041, highlight: 0 
signal: -111.560440, pixels: 122466320, freq: 2410.453125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 41, datasquaresum: 48041, highlight: 0 
signal: -108.852356, pixels: 122466320, freq: 2410.796875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 56, datasquaresum: 48041, highlight: 0 
signal: -116.967667, pixels: 122466320, freq: 2411.140625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 22, datasquaresum: 48041, highlight: 0 
signal: -106.790955, pixels: 122466320, freq: 2411.484375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 71, datasquaresum: 48041, highlight: 0 
signal: -116.967667, pixels: 122466320, freq: 2411.828125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 22, datasquaresum: 48041, highlight: 0 
signal: -117.371735, pixels: 122466320, freq: 2412.171875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 21, datasquaresum: 48041, highlight: 0 
signal: -117.795517, pixels: 122466320, freq: 2412.515625, startfreq: 2350.000000, noise: -95, rssi: -2, data: 20, datasquaresum: 48041, highlight: 0 
signal: -116.211899, pixels: 122466320, freq: 2412.859375, startfreq: 2350.000000, noise: -95, rssi: -2, data: 24, datasquaresum: 48041, highlight: 0 
signal: -109.168243, pixels: 122466320, freq: 2413.203125, startfreq: 2350.000000, noise: -95, rssi: -2, data: 54, datasquaresum: 48041, highlight: 0 
signal: -115.516647, pixels: 122466320, freq: 2413.546875, startfreq: 2350.000000, noise: -95, rssi: -2, data: 26, datasquaresum: 48041, highlight: 0 
